1,12,100000,,M,399996,1,TYPE-B,43,2,ANNUAL,1194400,20110929,20121119
1,17,100514.23,M,F,549996,1,TYPE-A,40,2,ANNUAL,739244,20110311,20120410
0,12,100000.8,M,M,1299996,1,TYPE-B,40,2,MONTHLY,1341388,20130625,
1,12,100000.99,M,M,500004,1,TYPE-B,50,3,ANNUAL,261533,20110203,20120328
1,12,200001.6,,M,499992,2,TYPE-B,45,2,MONTHLY,1355055,20130228,20130727
0,12,100000.8,M,M,298992,1,TYPE-B,45,3,MONTHLY,570900,20110321,
0,29,113125,M,M,25200000,1,TYPE-B,45,2,ANNUAL,477,20060914,
0,12,144001.08,M,F,999996,2,TYPE-B,43,2,MONTHLY,1428055,20130628,
1,17,180000,M,M,750000,1,TYPE-B,33,1,MONTHLY,210511,20080331,20080727
0,27,100000,,,,1,TYPE-B,60,3,ANNUAL,937399,20100604,
1,12,100000,M,M,1299996,2,TYPE-B,37,2,ANNUAL,1219222,20120131,20130329
1,42,100000,M,M,11127360,1,TYPE-B,53,2,ANNUAL,886533,20100331,20120527
0,22,100000,M,M,800004,1,TYPE-B,40,2,ANNUAL,849044,20100113,
0,17,151999.93,,M,,6,TYPE-A,75,2,ANNUAL,1267733,20130823,
0,52,100000,M,F,,4,TYPE-B,43,1,ANNUAL,343344,20100309,
0,98,104045.93,,M,1099992,1,TYPE-A,36,0,ANNUAL,33666,20130331,
0,17,206182.09,M,F,349992,2,TYPE-A,29,1,ANNUAL,1305711,20130331,
0,27,100000,S,M,499992,1,TYPE-B,25,0,SEMI-ANNUAL,309877,20100506,
0,57,100000,M,F,300000,1,TYPE-B,38,2,ANNUAL,869466,20100225,
1,26,100000,S,M,1500000,1,TYPE-B,58,0,ANNUAL,790888,20091012,20101211
0,27,199999.43,M,F,600000,2,TYPE-A,45,3,ANNUAL,20188,20111031,
0,27,400000,M,M,1250004,1,TYPE-B,48,1,SEMI-ANNUAL,309877,20100831,
1,27,500000,M,M,1200000,1,TYPE-B,67,3,ANNUAL,265077,20100830,20111027
0,12,100000.8,M,F,600000,1,TYPE-B,37,3,MONTHLY,1358900,20121130,
0,12,120003.36,M,F,600000,1,TYPE-B,57,1,MONTHLY,1124533,20110318,
1,53,100000,M,M,999996,1,TYPE-B,42,3,ANNUAL,739300,20100707,20110905
1,12,100000,,M,,1,TYPE-B,13,0,ANNUAL,1197144,20110420,20130619
0,12,100000,M,M,379992,2,TYPE-B,42,3,ANNUAL,1349433,20130228,
0,12,100000,M,M,500004,1,TYPE-B,53,3,SEMI-ANNUAL,128111,20100722,
0,34,119945.04,M,M,600000,1,TYPE-B,45,2,MONTHLY,143033,20090904,
0,25,100000,M,M,900000,1,TYPE-B,59,2,SEMI-ANNUAL,343344,20081223,
0,12,150000,S,M,300000,1,TYPE-B,19,0,ANNUAL,568800,20090409,
0,17,149988.23,M,M,,6,TYPE-A,64,1,ANNUAL,343344,20130228,
1,12,200000,M,M,1399992,1,TYPE-B,35,1,ANNUAL,20566,20120322,20130521
1,27,100000,,,,6,TYPE-B,62,0,SEMI-ANNUAL,693255,20100827,20110428
0,22,175000,S,F,720000,1,TYPE-B,41,0,ANNUAL,275499,20090420,
0,12,100000,M,M,399996,1,TYPE-B,38,2,ANNUAL,763077,20100420,
0,92,103731.6,,M,300000,2,TYPE-A,46,0,MONTHLY,1224599,20111031,
1,27,100000,M,M,249996,1,TYPE-B,48,2,ANNUAL,260122,20080930,20091127
0,38,100000,,,,1,TYPE-B,62,3,SEMI-ANNUAL,825144,20100827,
1,39,400000,M,M,1380996,1,TYPE-B,55,3,ANNUAL,832200,20100531,20110727
0,17,100000,M,M,420000,1,TYPE-B,34,2,ANNUAL,194611,20080318,
0,22,100000,M,M,1299996,1,TYPE-B,62,3,ANNUAL,632622,20090804,
1,52,100512.04,M,M,500004,1,TYPE-A,53,1,SEMI-ANNUAL,1142933,20110210,20110909
1,12,120000.96,M,M,450000,1,TYPE-B,35,2,MONTHLY,437477,20110429,20110827
1,12,200000,M,M,849996,1,TYPE-B,49,3,QUARTERLY,555255,20090818,20110419
1,12,100000,M,M,500004,1,TYPE-B,41,2,ANNUAL,606366,20090828,20101027
0,22,123704.64,,M,849996,1,TYPE-A,47,0,MONTHLY,348355,20131127,
0,22,100000,M,M,600000,1,TYPE-B,40,2,ANNUAL,835977,20100108,
0,17,131990.28,M,M,399996,2,TYPE-A,53,1,MONTHLY,343355,20130320,
0,17,101363.28,M,M,499992,1,TYPE-A,56,1,MONTHLY,348355,20130422,
0,12,200001,,M,,1,TYPE-B,50,0,ANNUAL,614377,20101123,
0,17,100000.8,M,F,399996,1,TYPE-B,54,2,MONTHLY,629933,20100226,
1,101,233154.49,,M,2460000,1,TYPE-A,33,0,ANNUAL,1120355,20110620,20130720
0,41,105000,M,M,350004,1,TYPE-B,53,1,ANNUAL,184844,20100831,
0,17,100000,M,M,450000,1,TYPE-B,56,3,SEMI-ANNUAL,643788,20090325,
0,70,100000,,,,1,TYPE-B,55,0,ANNUAL,560833,20100129,
1,12,150000,,F,,1,TYPE-B,43,0,ANNUAL,499499,20110218,20120418
1,17,100000,,,,1,TYPE-B,51,0,SEMI-ANNUAL,26511,20071226,20080825
0,27,100000,M,M,1100004,1,TYPE-B,30,1,ANNUAL,819711,20100505,
0,12,125000,M,M,300000,5,TYPE-B,35,2,ANNUAL,83099,20091118,
0,93,102999.94,,M,600000,1,TYPE-A,49,0,ANNUAL,1407177,20130531,
0,17,104187.88,W,F,249996,2,TYPE-A,58,0,ANNUAL,343344,20131111,
0,37,100001,M,M,500004,1,TYPE-B,58,2,ANNUAL,836388,20100128,
1,12,119999.88,M,F,,4,TYPE-B,52,2,MONTHLY,35922,20080926,20090427
0,17,106863,S,M,399996,5,TYPE-B,41,0,ANNUAL,495099,20090529,
0,37,1000000,M,M,9999996,1,TYPE-B,58,2,ANNUAL,285911,20100222,
1,17,100026.83,M,M,450000,1,TYPE-A,47,3,ANNUAL,1236022,20110630,20120728
0,26,187500,M,M,999996,1,TYPE-B,68,2,ANNUAL,849911,20100831,
0,12,120000.96,M,F,3268800,1,TYPE-B,45,2,MONTHLY,1392933,20130531,
0,12,250000,,M,3600000,2,TYPE-B,52,0,ANNUAL,1296988,20121210,
0,42,100000,W,F,200004,1,TYPE-B,42,0,ANNUAL,343344,20091110,
0,17,100000,M,M,549996,1,TYPE-B,34,3,ANNUAL,200533,20090630,
0,22,120000.96,S,M,560004,5,TYPE-B,35,0,MONTHLY,775711,20100215,
1,12,230000,M,M,300000,1,TYPE-B,41,2,ANNUAL,1212944,20120330,20130527
0,22,123714.36,M,M,600000,1,TYPE-A,51,2,MONTHLY,1097800,20130628,
0,17,300002.23,,M,999996,2,TYPE-A,6,1,ANNUAL,1347855,20130331,
0,23,100000,M,F,2205444,1,TYPE-B,72,2,ANNUAL,280466,20100129,
0,32,103090.01,,M,399996,2,TYPE-A,36,0,ANNUAL,281055,20130919,
0,49,100000,M,M,600000,1,TYPE-B,35,1,ANNUAL,167666,20080630,
0,41,250000,M,M,999996,1,TYPE-B,54,2,ANNUAL,739300,20100226,
0,17,125449.32,M,M,999996,1,TYPE-A,51,2,MONTHLY,343388,20130331,
0,27,100000,M,M,600000,1,TYPE-B,44,3,SEMI-ANNUAL,703388,20090909,
0,17,1844706,M,M,30999996,1,TYPE-A,46,2,MONTHLY,343344,20131113,
0,30,100000,S,M,,6,TYPE-B,65,0,ANNUAL,20711,20100513,
1,31,300000,S,M,,6,TYPE-B,64,0,SEMI-ANNUAL,343344,20100215,20101014
0,57,118207.81,M,M,900000,1,TYPE-A,48,1,ANNUAL,587766,20120720,
1,64,200000.23,M,F,499992,2,TYPE-A,40,1,ANNUAL,1259000,20111227,20130126
0,22,143500.29,M,F,360000,1,TYPE-A,34,1,ANNUAL,343344,20131113,
0,31,100000,M,M,800004,1,TYPE-B,63,3,ANNUAL,471366,20100907,
0,17,120028.32,M,M,499992,2,TYPE-A,66,3,MONTHLY,1079488,20130910,
0,17,187646.23,,M,,6,TYPE-A,73,2,ANNUAL,343477,20130330,
0,17,299962.8,M,M,499992,2,TYPE-A,39,3,MONTHLY,1222977,20120330,
0,76,110099.57,,F,399996,1,TYPE-A,59,0,ANNUAL,1433455,20130731,
0,43,100000,M,M,1200000,1,TYPE-B,42,1,ANNUAL,577311,20090113,
1,35,100000,M,M,500004,1,TYPE-B,49,2,ANNUAL,432400,20080915,20091109
0,12,500000,M,M,1200000,1,TYPE-B,35,3,ANNUAL,695555,20100831,
0,64,100000.02,,,,1,TYPE-B,44,0,ANNUAL,32477,20070831,
0,34,200000,M,M,,6,TYPE-B,60,3,ANNUAL,729522,20100907,
0,59,211000,,M,169992,6,TYPE-A,47,3,ANNUAL,1219322,20130531,
1,17,499999.93,M,M,150000,1,TYPE-A,64,1,ANNUAL,1182811,20110824,20120923
0,17,100000,M,M,579996,1,TYPE-B,38,3,SEMI-ANNUAL,268344,20111230,
0,22,103090.24,,M,2499996,2,TYPE-A,57,0,SEMI-ANNUAL,343344,20130816,
