0,17,103469.72,3,1,399996,2,0,61,0,2,1389911,20130628,20131129,501
0,12,120000.96,3,0,600000,1,1,35,0,0,1267911,20120727,20131129,10402
0,17,103089.9,3,0,375000,1,0,42,0,2,343344,20130325,20131129,804
1,22,119999.88,3,0,540000,1,1,37,0,0,98011,20090227,20090627,400
0,27,292719.91,3,0,1399992,2,0,42,0,2,1274288,20111104,20131129,20025
1,56,100000,3,0,399996,1,1,39,0,2,225699,20100211,20120411,20200
0,30,150000,3,0,4200000,1,1,64,0,2,729177,20100630,20131129,30499
1,31,100000,3,0,699996,1,1,44,0,2,615811,20090324,20100523,10199
0,12,700000,3,0,1500000,2,1,53,0,2,1267955,20130228,20131129,901
0,17,224000.27,3,1,600000,2,0,43,0,2,1301822,20130823,20131129,306
1,25,119995.56,3,0,2400000,1,0,39,0,0,1278944,20111031,20130912,19881
0,22,199999.54,3,1,1200000,1,0,50,0,1,1399555,20130331,20131129,798
0,17,100000,3,0,249996,1,1,37,0,2,783699,20091126,20131129,40003
0,17,123728.4,3,0,799992,1,0,37,0,0,343344,20121217,20131129,9912
1,38,200000,3,1,600000,1,1,57,0,1,309877,20100719,20110318,9599
1,12,120000.96,3,1,200004,1,1,40,0,0,364166,20081031,20090226,9195
0,17,569353.7,3,1,3999996,1,0,46,0,2,343344,20130930,20131129,199
0,12,199999.99,3,0,600000,2,1,52,0,2,1295000,20120323,20131129,10806
0,17,247416.48,3,1,1500000,2,0,59,0,0,343344,20130114,20131129,1015
0,17,100000,3,1,99996,1,1,33,0,2,92500,20081128,20131129,50001
0,44,104364.52,3,1,649992,1,0,60,0,2,1318244,20130731,20131129,398
0,22,123705.36,3,0,399996,1,0,65,0,0,343344,20130722,20131129,407
0,27,100000,3,1,300000,5,1,49,0,1,272200,20100127,20131129,31002
0,17,122381.88,3,0,900000,1,0,46,0,0,343344,20130711,20131129,418
0,22,103999.66,3,0,360000,2,0,55,0,2,347811,20130711,20131129,418
1,12,100000,3,0,600000,1,1,37,0,2,280944,20110413,20130527,20114
